year,cause,lon,lat,n
2014,Drowning,27,37.3,12
2014,Violence,-5,35.9,15
2014,Drowning,39,20.3,17
2014,Drowning,48,12.5,110
2014,Drowning,31,1.6,251
2014,Drowning,32,-23.8,17
2014,"Sickness, accidents and harsh conditions",22,23.3,10
2014,Drowning,14,34.4,40
2014,Drowning,27,37.8,29
2014,Drowning,16,32.7,77
2014,Mixed or unknown,2,23.5,46
2014,Drowning,16,34.7,217
2014,Drowning,15,34.3,10
2014,Drowning,-13,28.3,29
2014,Drowning,100,4.7,35
2014,Drowning,17,34.6,240
2014,Transport hazards,14.7,36.2,45
2014,Drowning,15.8,36.4,75
2014,Mixed or unknown,15,33,13
2014,Drowning,13,33,200
2014,Drowning,26.9,37.9,25
2014,Mixed or unknown,-98.2,27,46
2014,Drowning,13.2,33,12
2014,Drowning,15,33.7,110
2014,Drowning,115,6.4,20
2014,Drowning,13,33.2,41
2014,Drowning,31,31.6,55
2014,"Drowning,Mixed or unknown",14.2,34.6,180
2014,Drowning,14,36.4,19
2014,Drowning,14,34.5,128
2014,Drowning,15.5,33.5,172
2014,Drowning,13.8,32.9,251
2014,Drowning,15.9,35.3,26
2014,Drowning,14.1,34.6,24
2014,Drowning,-67.8,18.3,23
2014,Mixed or unknown,-86.3,23.6,17
2014,Drowning,12,33.5,42
2014,Drowning,14,32.9,100
2014,Mixed or unknown,-101.1,19.1,64
2014,Drowning,-98.4,26.2,10
2014,Drowning,14.4,33.9,500
2014,Drowning,16.1,35,18
2014,Drowning,29.7,31.5,88
2014,Drowning,13.9,33.5,164
2014,Drowning,17,33.6,43
2014,Drowning,49.5,12.7,64
2014,Drowning,14.6,33.6,95
2014,Drowning,13.8,33.3,20
2014,Mixed or unknown,-102.6,23.6,41
2014,Drowning,29.1,41.2,38
2014,Drowning,43.5,12.4,30
2014,Drowning,13.2,35.9,12
2014,"Sickness, accidents and harsh conditions",13.1,34.2,17
2014,Drowning,-2.4,36.4,23
2014,Drowning,43.2,13.5,24
2014,Mixed or unknown,16.6,34.3,30
2014,Mixed or unknown,93.2,14.6,750
2014,Mixed or unknown,41.3,9.1,16
2015,Drowning,27.3,36.8,45
2015,Transport hazards,13.2,32.6,12
2015,Drowning,-2.9,35.3,23
2015,Drowning,93,17.6,57
2015,Drowning,-3,35.3,10
2015,Violence,12.9,26.2,12
2015,"Sickness, accidents and harsh conditions",12.9,26.2,38
2015,Drowning,43.4,12.9,36
