from,to,share
NLD,ABW,0.512453850682748
USA,ABW,0.2839788884650873
CUW,ABW,0.05402137216146371
SXM,ABW,0.036827822989592224
BEL,ABW,0.029229311515925713
GBR,ABW,0.026742738808039256
IRN,AFG,0.4112964760155876
PAK,AFG,0.18561274080346735
SAU,AFG,0.11332979071987344
DEU,AFG,0.08130342144707346
USA,AFG,0.04068440873388127
TUR,AFG,0.02736996073438816
PRT,AGO,0.3044883878662199
COD,AGO,0.21906918103365722
ZAF,AGO,0.06767502285233287
NAM,AGO,0.05342753682891484
COG,AGO,0.05069845040201494
MOZ,AGO,0.048375694381497435
FRA,AGO,0.04569752025089535
USA,AGO,0.04218216801627125
ZMB,AGO,0.038886672982814265
GBR,AGO,0.024935909855206627
ITA,ALB,0.3765242556954316
GRC,ALB,0.31558072443330126
USA,ALB,0.07562927053378754
DEU,ALB,0.07002376946257817
MKD,ALB,0.04480246697981791
GBR,ALB,0.030831107823393912
FRA,ALB,0.025778929310327506
ESP,ARG,0.2782627113364055
USA,ARG,0.19373192164392689
CHL,ARG,0.07143958750257855
ITA,ARG,0.06617109927866302
PRY,ARG,0.05449571772504439
BOL,ARG,0.04195252792893501
ISR,ARG,0.03304061169077135
BRA,ARG,0.032530152850927314
URY,ARG,0.02910351415451969
PER,ARG,0.02366742683984834
RUS,ARM,0.6147731216078646
USA,ARM,0.12289607431343852
UKR,ARM,0.050626176156305804
FRA,ARM,0.045255530044219144
DEU,ARM,0.03475745728237913
USA,ATG,0.7138056941762125
GBR,ATG,0.08847582509988694
VIR,ATG,0.06065941660721382
GIN,ATG,0.05653436473680172
CAN,ATG,0.0368858704497589
GBR,AUS,0.2552661895413487
USA,AUS,0.1623277580789582
NZL,AUS,0.14118008879900398
CAN,AUS,0.037416369533166516
GRC,AUS,0.033958017837720525
ITA,AUS,0.031001711485973263
DEU,AUS,0.025614724599144476
MLT,AUS,0.021548444571672296
DEU,AUT,0.3679699688713493
CHE,AUT,0.11776548659123125
USA,AUT,0.08405004673476207
TUR,AUT,0.04746518366268983
GBR,AUT,0.041556581244973724
CAN,AUT,0.03350171679915402
AUS,AUT,0.031280836329085265
ITA,AUT,0.029849340429279666
HUN,AUT,0.025440961423705506
ESP,AUT,0.022868588819116572
RUS,AZE,0.6580556753926039
TUR,AZE,0.08329777030518856
UKR,AZE,0.06560731837400394
KAZ,AZE,0.042405818575683714
USA,AZE,0.030837863556984292
DEU,AZE,0.02615794356111717
TZA,BDI,0.3385439778462099
RWA,BDI,0.18993799722153493
UGA,BDI,0.0727470467007398
COD,BDI,0.07166601849886321
BEL,BDI,0.05914321133017068
CAN,BDI,0.05232914774021731
KEN,BDI,0.02724506293036721
GBR,BDI,0.02380844093030256
SWE,BDI,0.023344308885369827
ZAF,BDI,0.022078150708334514
FRA,BEL,0.2796228860089331
NLD,BEL,0.10948082858269376
ITA,BEL,0.07535607343427171
ESP,BEL,0.06943385916432782
USA,BEL,0.06061366917259295
GBR,BEL,0.05299903070677277
DEU,BEL,0.051389997415013815
TUR,BEL,0.05041575537135556
LUX,BEL,0.03768670455352919
CAN,BEL,0.03486823326660098
NGA,BEN,0.5203894487402719
CIV,BEN,0.09881893261188805
TGO,BEN,0.09376859159913051
GAB,BEN,0.0872358498752702
FRA,BEN,0.06801198384406863
NER,BEN,0.029655143548045212
GHA,BEN,0.027829555403323655
CIV,BFA,0.8363759794213057
GHA,BFA,0.041348622126497134
MLI,BFA,0.031962825332981254
FRA,BFA,0.02712077282490855
IND,BGD,0.25883207505851374
SAU,BGD,0.18591072401495512
ARE,BGD,0.1748189879337645
KWT,BGD,0.05856484080054295
MYS,BGD,0.053873011076910275
QAT,BGD,0.046274220188335005
USA,BGD,0.04243998096997988
OMN,BGD,0.041045839714842366
GBR,BGD,0.036859430645345914
ITA,BGD,0.021207756462316703
DEU,BGR,0.26807552776874255
TUR,BGR,0.2196958459479655
ESP,BGR,0.11617721516273574
GBR,BGR,0.07794005654787464
USA,BGR,0.047941559393695155
GRC,BGR,0.04535455148871122
ITA,BGR,0.03302433692091003
BEL,BGR,0.02756334195292316
NLD,BGR,0.025465545136210865
AUT,BGR,0.02145637774737648
HRV,BIH,0.21851427846727906
SRB,BIH,0.18552403184431632
DEU,BIH,0.13770633577140637
AUT,BIH,0.10768605863691956
SVN,BIH,0.07838611049840596
USA,BIH,0.06560914851621838
SWE,BIH,0.03746610184781201
CHE,BIH,0.03730419524171302
CAN,BIH,0.023603093949904907
AUS,BIH,0.021160484530651606
RUS,BLR,0.5084176276344614
UKR,BLR,0.1579532358225375
POL,BLR,0.06749104755533215
USA,BLR,0.048910503137061585
KAZ,BLR,0.0471677070740983
LTU,BLR,0.027124110120356572
LVA,BLR,0.025742797429114294
DEU,BLR,0.02029631354607485
USA,BLZ,0.8548984893693103
CAN,BLZ,0.03614643130261139
MEX,BLZ,0.028874817129850024
GBR,BLZ,0.02818702467990698
USA,BMU,0.6230376394930963
GBR,BMU,0.2257896727822962
CAN,BMU,0.09386230376394933
AUS,BMU,0.027898619254775867
ARG,BOL,0.4353078095006439
ESP,BOL,0.1822990733280066
CHL,BOL,0.13618465540526
USA,BOL,0.10352326994985675
BRA,BOL,0.047866281250852835
PER,BOL,0.026686270465562656
USA,BRA,0.2793354829191104
JPN,BRA,0.10266755043940586
PRT,BRA,0.0748297417574564
ITA,BRA,0.06499973575760876
ESP,BRA,0.06318502708904557
GBR,BRA,0.051406833013309575
FRA,BRA,0.04832112169347943
DEU,BRA,0.03717622049905222
PRY,BRA,0.035039929959553524
AUS,BRA,0.02740452281084761
NPL,BTN,0.437687568288727
AUS,BTN,0.26384439643083546
IND,BTN,0.15020344954945114
CAN,BTN,0.09287442020653794
ZAF,BWA,0.7748853059984562
GBR,BWA,0.06132755269878579
ZWE,BWA,0.0593349521086485
AUS,BWA,0.02934448823742146
USA,CAN,0.6332104441915368
GBR,CAN,0.06935603041409207
AUS,CAN,0.04273860041517645
FRA,CAN,0.02071631973645518
ITA,CHE,0.27017475719259654
FRA,CHE,0.1369023887755327
DEU,CHE,0.1348804227276291
ESP,CHE,0.09101731617916976
USA,CHE,0.06920979220602405
GBR,CHE,0.034106615596913095
CAN,CHE,0.029569450699120862
PRT,CHE,0.026775907022381012
AUT,CHE,0.02318338389447241
LIE,CHE,0.021412360851087518
ARG,CHL,0.31453811543801474
USA,CHL,0.16352313624151757
ESP,CHL,0.09446850632634281
AUS,CHL,0.05508900013810691
CAN,CHL,0.04501453791555902
SWE,CHL,0.044468473225469804
BRA,CHL,0.028641943280715145
DEU,CHL,0.028120919774686424
FRA,CHL,0.025794315076255275
PER,CHL,0.025746470243406677
USA,CHN,0.23944881022427908
HKG,CHN,0.22510735099056337
KOR,CHN,0.07094397638673847
JPN,CHN,0.06799892047282134
AUS,CHN,0.06356678490996522
CAN,CHN,0.06246182760602315
