from,to,share
NLD,ABW,0.512453850682748
USA,ABW,0.2839788884650873
CUW,ABW,0.05402137216146371
SXM,ABW,0.036827822989592224
BEL,ABW,0.029229311515925713
IRN,AFG,0.4112964760155876
PAK,AFG,0.18561274080346735
SAU,AFG,0.11332979071987344
DEU,AFG,0.08130342144707346
USA,AFG,0.04068440873388127
PRT,AGO,0.3044883878662199
COD,AGO,0.21906918103365722
ZAF,AGO,0.06767502285233287
NAM,AGO,0.05342753682891484
COG,AGO,0.05069845040201494
ITA,ALB,0.3765242556954316
GRC,ALB,0.31558072443330126
USA,ALB,0.07562927053378754
DEU,ALB,0.07002376946257817
MKD,ALB,0.04480246697981791
ESP,ARG,0.2782627113364055
USA,ARG,0.19373192164392689
CHL,ARG,0.07143958750257855
ITA,ARG,0.06617109927866302
PRY,ARG,0.05449571772504439
RUS,ARM,0.6147731216078646
USA,ARM,0.12289607431343852
UKR,ARM,0.050626176156305804
FRA,ARM,0.045255530044219144
DEU,ARM,0.03475745728237913
USA,ATG,0.7138056941762125
GBR,ATG,0.08847582509988694
VIR,ATG,0.06065941660721382
GIN,ATG,0.05653436473680172
CAN,ATG,0.0368858704497589
GBR,AUS,0.2552661895413487
USA,AUS,0.1623277580789582
NZL,AUS,0.14118008879900398
CAN,AUS,0.037416369533166516
GRC,AUS,0.033958017837720525
DEU,AUT,0.3679699688713493
CHE,AUT,0.11776548659123125
USA,AUT,0.08405004673476207
TUR,AUT,0.04746518366268983
GBR,AUT,0.041556581244973724
RUS,AZE,0.6580556753926039
TUR,AZE,0.08329777030518856
UKR,AZE,0.06560731837400394
KAZ,AZE,0.042405818575683714
USA,AZE,0.030837863556984292
TZA,BDI,0.3385439778462099
RWA,BDI,0.18993799722153493
UGA,BDI,0.0727470467007398
COD,BDI,0.07166601849886321
BEL,BDI,0.05914321133017068
FRA,BEL,0.2796228860089331
NLD,BEL,0.10948082858269376
ITA,BEL,0.07535607343427171
ESP,BEL,0.06943385916432782
USA,BEL,0.06061366917259295
NGA,BEN,0.5203894487402719
CIV,BEN,0.09881893261188805
TGO,BEN,0.09376859159913051
GAB,BEN,0.0872358498752702
FRA,BEN,0.06801198384406863
CIV,BFA,0.8363759794213057
GHA,BFA,0.041348622126497134
MLI,BFA,0.031962825332981254
FRA,BFA,0.02712077282490855
IND,BGD,0.25883207505851374
SAU,BGD,0.18591072401495512
ARE,BGD,0.1748189879337645
KWT,BGD,0.05856484080054295
MYS,BGD,0.053873011076910275
DEU,BGR,0.26807552776874255
TUR,BGR,0.2196958459479655
ESP,BGR,0.11617721516273574
GBR,BGR,0.07794005654787464
USA,BGR,0.047941559393695155
HRV,BIH,0.21851427846727906
SRB,BIH,0.18552403184431632
DEU,BIH,0.13770633577140637
AUT,BIH,0.10768605863691956
SVN,BIH,0.07838611049840596
RUS,BLR,0.5084176276344614
UKR,BLR,0.1579532358225375
POL,BLR,0.06749104755533215
USA,BLR,0.048910503137061585
KAZ,BLR,0.0471677070740983
USA,BLZ,0.8548984893693103
CAN,BLZ,0.03614643130261139
MEX,BLZ,0.028874817129850024
GBR,BLZ,0.02818702467990698
USA,BMU,0.6230376394930963
GBR,BMU,0.2257896727822962
CAN,BMU,0.09386230376394933
AUS,BMU,0.027898619254775867
ARG,BOL,0.4353078095006439
ESP,BOL,0.1822990733280066
CHL,BOL,0.13618465540526
USA,BOL,0.10352326994985675
BRA,BOL,0.047866281250852835
USA,BRA,0.2793354829191104
JPN,BRA,0.10266755043940586
PRT,BRA,0.0748297417574564
ITA,BRA,0.06499973575760876
ESP,BRA,0.06318502708904557
NPL,BTN,0.437687568288727
AUS,BTN,0.26384439643083546
IND,BTN,0.15020344954945114
CAN,BTN,0.09287442020653794
ZAF,BWA,0.7748853059984562
GBR,BWA,0.06132755269878579
ZWE,BWA,0.0593349521086485
AUS,BWA,0.02934448823742146
USA,CAN,0.6332104441915368
GBR,CAN,0.06935603041409207
AUS,CAN,0.04273860041517645
FRA,CAN,0.02071631973645518
ITA,CHE,0.27017475719259654
FRA,CHE,0.1369023887755327
DEU,CHE,0.1348804227276291
ESP,CHE,0.09101731617916976
USA,CHE,0.06920979220602405
ARG,CHL,0.31453811543801474
USA,CHL,0.16352313624151757
ESP,CHL,0.09446850632634281
AUS,CHL,0.05508900013810691
CAN,CHL,0.04501453791555902
USA,CHN,0.23944881022427908
HKG,CHN,0.22510735099056337
KOR,CHN,0.07094397638673847
JPN,CHN,0.06799892047282134
AUS,CHN,0.06356678490996522
BFA,CIV,0.41756517205416244
FRA,CIV,0.16484831125378796
MLI,CIV,0.14505586686079294
GHA,CIV,0.055759645707223186
USA,CIV,0.05301740464169909
FRA,CMR,0.26912246427605047
USA,CMR,0.18843839948354385
GAB,CMR,0.08405216343056553
NGA,CMR,0.07235545494306933
DEU,CMR,0.06882160314116438
UGA,COD,0.14240818580893488
FRA,COD,0.12303278849815327
BEL,COD,0.11112511862360033
RWA,COD,0.08538084562788414
USA,COD,0.07130450408621056
USA,COL,0.2955577755188559
VEN,COL,0.2729932809473905
ESP,COL,0.14991663719221837
ECU,COL,0.06052384778297162
CHL,COL,0.0549611690666666
FRA,COM,0.9263986189021755
MDG,COM,0.03754237679761729
LBY,COM,0.021545236965942495
PRT,CPV,0.32271941650237557
USA,CPV,0.2335711616916624
FRA,CPV,0.16381810587803497
NLD,CPV,0.06472286228402471
LUX,CPV,0.04613082144669648
USA,CRI,0.6646879647153974
NIC,CRI,0.0672673528791649
PAN,CRI,0.05775073368765507
ESP,CRI,0.028871129200255613
CAN,CRI,0.027998061658389393
GBR,CYM,0.6520893304777509
CAN,CYM,0.14885767496687993
AUS,CYM,0.08795976680280265
HND,CYM,0.046872139868463926
GBR,CYP,0.3518426369639807
USA,CYP,0.19975268064148408
GRC,CYP,0.14004129467006127
AUS,CYP,0.12052252620206974
ZAF,CYP,0.037604445839530945
DEU,CZE,0.5946885148697627
USA,CZE,0.11036525153122612
SVK,CZE,0.08400817687492088
GBR,CZE,0.04168883287307093
AUT,CZE,0.03408561637098718
USA,DEU,0.14764024294141562
CHE,DEU,0.09753740758242453
GBR,DEU,0.08191944278337916
TUR,DEU,0.07726186066593259
AUT,DEU,0.06646638373014582
FRA,DJI,0.4506027714664993
CAN,DJI,0.11620699826484515
ETH,DJI,0.10742973344888798
TUR,DJI,0.08168283901462903
BEL,DJI,0.07490673386518824
USA,DMA,0.4858048153945612
FRA,DMA,0.1648088583278711
GBR,DMA,0.13020841769156616
VIR,DMA,0.056601298596733005
ATG,DMA,0.054437562573243545
GRL,DNK,0.18314219681342056
SWE,DNK,0.12805940934153975
GBR,DNK,0.10318245281456916
USA,DNK,0.10215159812257314
NOR,DNK,0.08249021103978005
USA,DOM,0.740216160291442
ESP,DOM,0.10894413711660514
ITA,DOM,0.028779945137237587
PRI,DOM,0.025984235372960598
