iso,label,longitude,latitude,size
ABW,Aruba,-69.97564014284046,12.515625722992898,35975634.76929376
AFG,Afghanistan,66.59216131095278,34.13402601376932,300000000
AGO,Angola,17.651768783079,-12.167424062667942,12631149.319774304
ALB,Albania,20.061082767269493,41.14165894891656,1718320554.367247
ARE,United Arab Emirates,54.27920525789581,24.18250292309135,NA
ARG,Argentina,-64.53238503843076,-35.697270518120085,911591594.0923837
ARM,Armenia,45.05490831965259,40.17841274230679,1610171648.7374012
ASM,American Samoa,-170.7007316174498,-14.305711987770538,NA
ATG,Antigua and Barbuda,-61.78530823226373,17.07146759372967,50142028.447479345
AUS,Australia,134.02277170916162,-25.69733767398308,922279965.0201417
AUT,Austria,13.797778364631036,47.631858269895794,3167048409.0909085
AZE,Azerbaijan,48.63459267064432,40.3920509942049,1526635999.9999998
BDI,Burundi,29.88518227845293,-3.261251993278643,47999999.99999997
BEL,Belgium,4.675010154696485,50.6182138854095,15883123728.57143
BEN,Benin,2.305714528830206,9.503013199615893,204285895.60279813
BFA,Burkina Faso,-1.6932816211842323,12.108709036312735,560550000.0000004
BGD,Bangladesh,90.43212562608612,23.673728665121,22202917783.868633
BGR,Bulgaria,25.251739122561908,42.82043677302438,786060000.0000001
BIH,Bosnia and Herzegovina,17.83467240787538,44.14415356126429,2374467959.4508553
BLR,Belarus,27.964252054715104,53.46791374543163,1136746555.66
BLZ,Belize,-88.68273510023441,17.24252476647155,135359896.99717805
BMU,Bermuda,-64.7458500599169,32.315067430740726,1574100922.762005
BOL,Bolivia,-64.45209597511206,-16.7312488393574,1417100383.199179
BRA,Brazil,-54.355206608256424,-11.524630416426652,4102018147.700001
BRB,Barbados,-59.557383949150285,13.183219369337529,NA
BTN,Bhutan,90.4671664717386,27.42163933959824,57687180.00000001
BWA,Botswana,23.85779956995608,-22.236609002062902,57629183.974567816
CAN,Canada,-98.41680517868062,57.55048004465563,806391718.4295878
CHE,Switzerland,8.286928794895285,46.73678128684938,3019222345.768392
CHL,Chile,-70.76863431739216,-37.82938283049967,76094074.25567254
CHN,China,104.69113855849604,38.07325481105728,52999999999.99998
CIV,Cote d'Ivoire,-5.571710194917734,7.536779279421307,347999999.9999999
CMR,Cameroon,12.948474142398265,6.294168487480992,350198975.6765322
COD,"Congo, Dem. Rep.",23.419827574282188,-3.338629596207896,1330881114.0875828
COG,"Congo, Rep.",14.879732849491392,-0.7294391595233845,NA
COL,Colombia,-72.6445066243485,4.187753877352739,8608268970.885418
COM,Comoros,43.34826587429403,-11.658861474508493,243330000
CPV,Cabo Verde,-23.63401005900474,15.076411518651645,312105152.9649155
CRI,Costa Rica,-84.14673625701816,9.863467407406214,594125601.6811676
CUW,Curacao,-68.96939768599042,12.199996647939832,NA
CYM,Cayman Islands,-81.25203208977878,19.311231805620288,14000000.000000002
CYP,Cyprus,33.375346009199205,35.11700416345239,665581076.7701687
CZE,Czech Republic,15.383273292023532,49.74917370930982,4386865792.787088
DEU,Germany,10.426171427430804,51.08304539800482,20411777594.011547
DJI,Djibouti,42.613496898789506,11.750235727618804,65000000.00000002
DMA,Dominica,-61.360471946942994,15.429269860940511,57534905.0657401
DNK,Denmark,9.378670542409406,56.00118817971057,1492206790.2590811
DOM,Dominican Republic,-70.43495198520012,18.77954818522993,10742799999.999998
DZA,Algeria,2.6558464719769135,28.350969744889056,1759095247.3370802
ECU,Ecuador,-78.4630326109714,-1.5642721388853116,4367441780.588136
EGY,"Egypt, Arab Rep.",30.240135435012338,26.60517034450628,31487000000
ESP,Spain,-3.6516251409956983,40.36500833668384,8999999999.999996
EST,Estonia,25.916870250633806,58.648108311231034,580277275.8184702
ETH,Ethiopia,39.91490288654427,8.729389557048396,436415385.48254275
FIN,Finland,25.65738433454702,65.01578959749911,842476902.4531016
FJI,Fiji,177.98144613732626,-17.822470952336204,483750448.0265178
FRA,France,2.1940236627886227,46.6423682169416,32077312215.223625
FSM,"Micronesia, Fed. Sts.",158.2291899444527,6.8789448129255435,NA
GAB,Gabon,11.839410898545754,-0.628448459921234,13999999.999999996
GBR,United Kingdom,-2.852943909329258,53.97844735080214,3522943789.5872374
GEO,Georgia,43.378866534112234,42.17986277737226,2643926171.81
GHA,Ghana,-1.219233362526581,7.94530467243628,4506554640.585345
GIN,Guinea,-10.986948848040218,10.255986541378112,343910000.0000001
GMB,"Gambia, The",-15.383380385869662,13.428617959189328,547051423.8019669
GNB,Guinea-Bissau,-14.980186756910848,11.980075324820504,177999999.99999994
GNQ,Equatorial Guinea,10.425456672353825,1.595464393659073,NA
GRC,Greece,23.110368936161876,39.42012261727978,688866261.6235054
GRD,Grenada,-61.67937937204098,12.112926656338908,73965777.36712633
GRL,Greenland,-42.07567788066985,74.16847218965994,NA
GTM,Guatemala,-90.31219349119615,15.820878515352684,15395390250.000004
GUM,Guam,144.78024458298802,13.445430479945276,NA
GUY,Guyana,-58.91352612754667,4.68211981385056,392628499.9999999
HKG,"Hong Kong SAR, China",114.1751,22.3753,460825150.4481003
HND,Honduras,-86.49251679006962,14.740370695750006,7203426672.830167
HRV,Croatia,16.625761129583374,44.91192100856702,5044681501.030748
HTI,Haiti,-72.89291379842,18.883520486983567,4196393882.9696507
HUN,Hungary,19.39620048366142,47.22527332486294,3486769080.764683
IDN,Indonesia,113.96538246847302,0.15591979959037652,9402427088.854849
IND,India,81.17300408530181,23.58630056774672,89375152217.56573
IRL,Ireland,-8.241128545554096,53.30489539816495,179854619.6248194
IRN,"Iran, Islamic Rep.",54.23707700106544,32.906023742890056,NA
IRQ,Iraq,43.83252918105688,33.105075667527906,599999999.9999999
ISL,Iceland,-19.05682967106099,65.12360920205514,190255250.13008228
ISR,Israel,35.027923472437024,31.513542220043195,7700999999.999998
ITA,Italy,12.763657166123137,42.98201127614267,10258423410.750359
JAM,Jamaica,-77.30358894542778,18.12207889341651,3706698183.251931
JOR,Jordan,36.95728884547246,31.387064884449156,5162253521.126759
JPN,Japan,137.46934234351835,36.76738832597829,5290974223.44138
KAZ,Kazakhstan,66.3759193479301,47.641465195176835,310158546.35080904
KEN,Kenya,37.95309411262371,0.6899182318376179,3770089638.547689
KGZ,Kyrgyz Republic,74.17532903468319,41.35698905438358,2792498249.117935
