source,target,v
784,4,1839991.2060000023
586,4,969032.2900000004
156,4,962353.8860000006
860,4,765967.5079999989
398,4,615511.7199999995
699,4,362201.11999999953
458,4,336699.5189999999
792,4,256219.27599999998
56,4,80197.305
842,4,48187.733
380,8,1936101.9350000033
156,8,1021032.9720000015
792,8,782203.2019999991
699,8,703571.8919999993
300,8,614212.4039999999
276,8,499824.9349999997
688,8,334615.6950000001
842,8,182577.27600000022
757,8,142087.70700000005
616,8,141932.3329999998
156,12,9453845.83400001
251,12,4626499.405000002
380,12,3028753.2449999982
792,12,2747998.779
76,12,2373913.3019999973
276,12,2132545.715000004
842,12,1183079.3620000007
124,12,964369.3220000003
784,12,962191.7169999998
818,12,850088.9999999997
702,16,51872.961
554,16,27982.61499999999
242,16,26366.05500000001
490,16,20669.929999999993
458,16,19878.365999999998
36,16,8987.417000000005
392,16,2305.524
764,16,2139.9130000000005
360,16,1937.85
76,16,1834.5100000000002
724,20,1293268.5519999983
251,20,219034.051
276,20,90472.915
156,20,63171.71200000005
380,20,58712.63899999997
757,20,31713.473999999995
826,20,25852.58399999999
528,20,23096.746999999996
490,20,17596.624
40,20,15799.370000000008
156,24,4135272.964999998
620,24,1365765.5320000001
699,24,634335.7599999995
842,24,578424.0429999998
784,24,532658.952
528,24,453317.6530000007
380,24,429301.80099999934
76,24,409769.29300000076
710,24,379284.32800000056
826,24,363906.0509999998
842,28,866192.8939999997
156,28,166669.7350000002
276,28,31824.453999999998
826,28,28585.193000000014
76,28,28494.062000000034
392,28,17991.483000000007
699,28,14913.239000000003
251,28,14120.215
528,28,12444.022000000008
380,28,11457.235
643,31,3155709.2740000025
156,31,2871810.849000004
792,31,2706497.226999999
784,31,721333.8450000006
276,31,721215.772
795,31,687309.159
826,31,601194.3240000006
364,31,473052.33700000006
398,31,457256.3029999994
410,31,427860.878
76,32,16712163.333999993
156,32,10673651.532999996
842,32,10267752.547999999
600,32,4294898.648000009
276,32,2751202.4410000034
764,32,1540828.1649999996
380,32,1444318.851000001
528,32,1363343.810000001
724,32,1183459.9490000021
68,32,996678.2849999995
156,36,71920674.88100006
842,36,31724265.621999983
410,36,18096437.356
392,36,17740833.678999998
764,36,13407897.147000024
276,36,12675424.518000001
458,36,12573683.170999998
702,36,12229141.85400003
699,36,8068012.43800002
704,36,6558068.083999998
276,40,78332086.83900003
380,40,15066951.612000003
156,40,12530132.348999992
757,40,10779752.21300001
203,40,10411678.703000015
528,40,7116519.66700001
616,40,7063254.361000018
842,40,6508528.73100001
348,40,6034172.313999997
251,40,5767295.585000008
842,44,4991202.507000006
276,44,1132481.4280000005
156,44,447255.89800000016
392,44,297628.61500000005
76,44,222954.60899999982
124,44,214123.04399999985
170,44,113601.08800000003
300,44,88786.64799999988
699,44,65085.865999999995
266,44,61751.718
784,48,2476178.800000006
156,48,2267874.7229999993
682,48,2205880.208999995
842,48,1255631.7869999988
